"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20766","Redirect To Full Cart Page","","Thu May 08 17:04:32 WEST 2025","failed","Thu May 08 17:04:53 WEST 2025","cartTests","TestCases","",""
"","21326","Show Empty Cart","","Mon May 12 10:03:27 WEST 2025","passed","Mon May 12 10:03:48 WEST 2025","cartTests","TestCases","",""
"","42507","Connexion Avec Mot De Passe Incorrect","","Mon May 12 09:12:34 WEST 2025","passed","Mon May 12 09:13:16 WEST 2025","connexionUser","TestCases","",""
"","51297","Search Products By Keyword","","Mon May 12 10:00:51 WEST 2025","passed","Mon May 12 10:01:43 WEST 2025","searchTests","TestCases","",""
"","64503","Login With Incorrect Password","","Mon May 12 09:59:47 WEST 2025","passed","Mon May 12 10:00:51 WEST 2025","connexionTests","TestCases","",""
"","26998","Empty Cart Completely","","Thu May 08 17:04:05 WEST 2025","failed","Thu May 08 17:04:32 WEST 2025","cartTests","TestCases","",""
"","17854","Show Empty Cart","","Mon May 12 08:45:51 WEST 2025","failed","Mon May 12 08:46:09 WEST 2025","connexionUser","TestCases","",""
"","24626","Show Recommended Products","","Thu May 08 17:04:53 WEST 2025","failed","Thu May 08 17:05:18 WEST 2025","cartTests","TestCases","",""
"","25344","Show Cart With Items","","Thu May 08 17:02:57 WEST 2025","failed","Thu May 08 17:03:22 WEST 2025","cartTests","TestCases","",""
"","22951","Increase Item Quantity From Panel","","Thu May 08 17:03:22 WEST 2025","failed","Thu May 08 17:03:45 WEST 2025","cartTests","TestCases","",""
"","24337","Show Empty Cart","","Mon May 12 10:02:47 WEST 2025","passed","Mon May 12 10:03:11 WEST 2025","","cartTests","",""
"","87574","Login With Valid Credentials","","Mon May 12 09:58:19 WEST 2025","passed","Mon May 12 09:59:46 WEST 2025","connexionTests","TestCases","",""
"","57838","Connexion Avec Credentials Valides","","Mon May 12 09:11:36 WEST 2025","passed","Mon May 12 09:12:33 WEST 2025","connexionUser","TestCases","",""
"","20216","Remove Item From Cart Panel","","Thu May 08 17:03:45 WEST 2025","failed","Thu May 08 17:04:05 WEST 2025","cartTests","TestCases","",""
